path,name,size,permissions,md5,timestamp
/.ftpquota,.ftpquota,16,-rw-r--r--,a19401d53fbd88876d5bfbec5aef7fd1,2026-01-20T16:56:35.788245
/.gitignore,.gitignore,14,-rw-r--r--,4954fe3f439337e5535185debf8fb3dd,2026-01-20T16:56:35.992512
/1 p for March grit.png,1 p for March grit.png,824908,-rw-r--r--,b98ef92ce55f0fba8b1449ce762c340b,2026-01-20T16:56:36.509498
/1 page.png,1 page.png,824908,-rw-r--r--,b98ef92ce55f0fba8b1449ce762c340b,2026-01-20T16:56:37.038117
/1-mar25-1.pdf,1-mar25-1.pdf,151094,-rw-r--r--,2af8dcdd7e5e2258e48e1814a26f72e5,2026-01-20T16:56:37.455749
/1.2025 Board meeting Agenda final.pdf,1.2025 Board meeting Agenda final.pdf,216729,-rw-r--r--,cd65142df9eb2fb32e6d4acff334bac4,2026-01-20T16:56:37.934426
/1.2025 Board meeting Agenda.pdf,1.2025 Board meeting Agenda.pdf,216729,-rw-r--r--,cd65142df9eb2fb32e6d4acff334bac4,2026-01-20T16:56:38.297519
/1.2025 Board meeting minutes final.pdf,1.2025 Board meeting minutes final.pdf,300132,-rw-r--r--,4589c46fb64c8a4e6b9a6d5fe844b512,2026-01-20T16:56:38.794038
/1.23.25 Special Mtg Minutes final.pdf,1.23.25 Special Mtg Minutes final.pdf,286200,-rw-r--r--,c6198ae994849bcdd6ead52e99e9e780,2026-01-20T16:56:39.290349
/10-october-1-2024-csc-meeting-agenda.pdf,10-october-1-2024-csc-meeting-agenda.pdf,148279,-rw-r--r--,79b082caa80a9b1c9fff9aeed84729d0,2026-01-20T16:56:39.725004
/10.2024 Board meeting minutes signed.pdf,10.2024 Board meeting minutes signed.pdf,593685,-rw-r--r--,5b1e19c792156f45b69383b87ed01279,2026-01-20T16:56:40.221021
/10.2025 BOD meeting Agenda.pdf,10.2025 BOD meeting Agenda.pdf,215337,-rw-r--r--,8432431c8dcec4f280a20182de0f7afc,2026-01-20T16:56:40.676885
/10.2025 Board meeting minutes final.pdf,10.2025 Board meeting minutes final.pdf,1230938,-rw-r--r--,4b3da0c194c24e29c9aa42e573b94d67,2026-01-20T16:56:41.322551
/10_2024 Agenda.pdf,10_2024 Agenda.pdf,268034,-rw-r--r--,9cee584ce2f0dd237fd19b51d806009c,2026-01-20T16:56:41.798989
/11.2024 board meeting minutes signed.pdf,11.2024 board meeting minutes signed.pdf,531600,-rw-r--r--,4d051acfd1361c429306e61e2cc62db2,2026-01-20T16:56:42.330750
